age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
31,0,3,2,no,1890,yes,no,0,21,7,588,1,-1,0,no
45,1,1,1,no,419,no,no,0,18,8,113,4,-1,0,no
36,1,1,2,no,-231,no,yes,0,15,7,779,2,-1,0,no
51,4,0,3,yes,-55,yes,no,0,11,5,281,2,266,6,no
34,6,0,3,no,462,no,no,0,21,8,1877,3,-1,0,yes
45,9,0,2,no,586,no,yes,0,28,7,32,3,-1,0,no
32,1,0,2,no,228,no,no,1,5,2,176,1,288,3,no
77,5,3,3,no,4659,no,no,0,14,4,161,1,-1,0,yes
41,1,1,1,no,168,yes,no,0,18,11,187,3,-1,0,no
33,4,0,3,no,0,no,no,0,28,8,236,10,-1,0,no
29,0,0,2,no,428,yes,yes,0,7,5,54,1,345,2,no
34,4,0,3,no,0,no,no,0,5,2,71,1,-1,0,no
52,4,1,3,no,-970,yes,no,0,4,2,489,1,-1,0,yes
32,4,3,3,no,948,no,no,0,12,8,204,2,-1,0,no
32,4,0,3,no,0,yes,no,0,22,7,455,2,-1,0,no
31,4,0,3,no,874,yes,no,0,18,11,190,2,-1,0,no
35,4,1,3,no,106,no,yes,0,11,8,588,2,-1,0,no
48,9,1,2,no,1152,yes,no,0,21,7,168,5,-1,0,no
46,0,1,2,no,179,yes,no,0,29,1,194,4,436,1,no
36,4,0,3,no,442,yes,yes,0,29,7,102,3,-1,0,no
55,2,1,2,no,8104,no,no,0,6,2,213,2,-1,0,no
35,9,3,2,no,308,no,no,0,22,8,77,2,-1,0,no
55,0,1,2,no,602,no,no,0,1,6,324,3,90,2,yes
55,9,1,2,no,273,yes,no,0,29,1,84,3,183,3,no
27,6,0,2,no,50,no,no,0,29,1,168,1,-1,0,no
34,9,1,2,no,1641,yes,no,0,17,4,380,1,-1,0,no
28,4,0,3,no,80,no,no,0,20,10,676,2,146,2,yes
78,3,1,2,no,499,no,no,1,16,3,80,4,-1,0,no
45,1,3,2,no,1269,yes,no,0,29,1,549,2,-1,0,no
32,1,0,2,no,1143,yes,yes,0,10,7,412,1,-1,0,no
37,4,0,3,no,37,no,no,0,28,1,253,2,-1,0,no
40,0,0,2,no,462,yes,yes,0,6,4,272,1,335,4,no
32,0,1,2,no,1031,yes,no,0,17,7,84,1,-1,0,no
42,4,1,3,no,9009,no,no,0,20,11,135,2,-1,0,no
43,0,1,2,no,-465,yes,yes,0,23,7,166,1,-1,0,no
44,0,1,2,no,5181,yes,yes,0,31,7,18,7,-1,0,no
37,0,1,2,no,176,yes,no,0,5,5,147,2,347,1,no
37,0,1,3,no,0,yes,no,0,17,11,65,2,119,1,no
28,9,0,3,no,172,yes,yes,0,2,2,194,2,-1,0,no
32,7,0,2,no,0,no,yes,0,11,7,333,2,-1,0,no
34,0,0,2,no,6979,yes,no,0,15,5,14,5,-1,0,no
34,6,1,3,no,1972,yes,no,0,23,7,61,2,-1,0,no
34,0,1,3,no,899,yes,no,1,19,11,377,3,7,4,no
37,7,0,2,no,21,yes,no,0,2,2,96,1,271,2,no
36,9,1,2,no,23,yes,no,0,8,5,152,2,347,1,no
56,5,1,2,no,-1206,yes,no,0,15,6,382,2,-1,0,yes
49,1,1,1,no,0,yes,yes,1,23,7,97,6,-1,0,no
33,6,1,2,no,215,yes,no,0,29,7,543,12,-1,0,no
30,4,0,3,no,1372,no,no,0,20,11,240,2,-1,0,no
23,8,0,2,no,9216,no,no,0,5,6,471,2,-1,0,no
57,5,3,2,no,39,yes,no,0,30,7,354,3,-1,0,no
38,7,1,2,no,1,no,yes,0,21,11,152,2,-1,0,no
42,9,1,3,no,782,no,no,0,3,4,285,1,-1,0,no
75,5,1,2,no,3771,no,no,1,15,4,185,1,181,2,yes
34,9,0,3,no,992,yes,no,0,4,5,301,1,88,2,no
48,9,1,2,no,1526,no,no,0,6,8,273,2,-1,0,no
35,9,0,3,no,2658,yes,no,0,19,8,768,2,141,3,yes
39,4,3,3,no,1315,yes,no,0,19,11,1337,4,126,1,no
29,1,0,3,no,455,no,no,1,21,4,403,1,-1,0,yes
45,9,0,3,no,0,yes,no,0,18,11,139,2,-1,0,no
42,9,1,2,no,2030,yes,yes,0,9,7,196,1,-1,0,no
29,9,1,2,no,1599,yes,no,0,8,7,115,1,61,1,no
38,7,0,2,no,-196,yes,no,0,2,2,60,1,271,1,no
56,5,1,2,no,1333,no,no,0,28,8,17,14,-1,0,no
36,9,0,2,no,9149,yes,no,0,13,8,141,3,-1,0,no
38,9,1,3,no,432,yes,no,0,15,5,10,2,373,1,no
57,6,1,2,no,11494,no,no,0,19,11,198,1,-1,0,no
31,4,1,3,yes,-253,no,no,0,12,8,220,4,-1,0,no
42,4,1,3,no,372,yes,no,0,3,8,654,2,-1,0,yes
45,9,1,2,no,1410,no,no,0,11,8,71,2,-1,0,no
30,1,1,2,no,975,yes,no,0,13,5,256,2,351,2,no
49,1,1,1,no,305,yes,yes,1,10,7,834,10,-1,0,no
49,7,1,2,no,400,no,no,0,21,8,151,3,-1,0,no
53,5,1,3,no,-22,yes,no,0,31,7,20,3,-1,0,no
41,6,1,1,no,204,no,no,0,13,8,111,7,-1,0,no
54,4,1,1,no,1691,yes,no,0,20,11,186,1,-1,0,no
33,9,1,2,no,-204,no,no,0,15,5,297,3,-1,0,no
33,9,1,2,no,359,yes,no,0,20,4,210,1,242,1,no
36,1,1,1,no,123,yes,no,0,18,5,9,1,-1,0,no
35,9,1,3,no,0,yes,yes,0,23,9,112,1,62,6,no
44,9,0,2,no,33,yes,no,0,13,5,195,3,351,10,no
45,1,0,2,no,0,yes,no,0,26,7,768,2,91,5,no
30,8,0,2,no,3096,no,no,0,26,1,123,1,-1,0,no
48,9,3,2,yes,20,no,no,0,27,8,145,3,-1,0,no
33,1,1,2,no,3576,yes,no,0,2,4,124,1,308,2,no
51,10,1,3,no,1634,yes,no,0,22,7,168,4,-1,0,no
34,0,0,2,no,1,yes,no,0,22,7,483,7,-1,0,no
50,6,1,3,no,4012,no,no,0,19,11,690,3,-1,0,no
44,4,1,3,no,3762,no,no,0,28,8,125,12,-1,0,no
36,4,1,3,no,0,yes,no,0,28,1,60,1,250,1,no
32,10,0,2,no,0,no,no,0,27,5,123,2,-1,0,no
42,4,1,3,no,484,yes,no,0,11,7,144,2,-1,0,no
43,9,1,2,no,0,no,yes,0,8,5,9,2,172,5,no
31,4,1,3,no,395,yes,no,0,9,2,155,3,-1,0,no
32,4,1,3,no,2349,no,no,0,14,8,134,5,-1,0,no
55,1,3,1,no,410,no,yes,0,11,7,221,2,-1,0,no
58,5,1,1,no,3401,yes,no,0,3,2,84,3,265,2,no
46,1,1,1,no,222,no,no,0,8,8,71,2,-1,0,no
34,4,1,3,no,415,no,yes,0,23,7,361,2,-1,0,no
28,10,0,2,no,16,no,no,0,12,8,119,4,-1,0,no
42,9,3,3,no,7190,yes,no,0,29,7,375,2,-1,0,no
29,1,0,2,no,482,no,yes,0,10,7,1097,3,-1,0,yes
54,3,1,2,no,209,yes,yes,0,25,7,97,1,-1,0,no
32,9,0,2,no,0,no,no,0,26,8,181,2,-1,0,no
39,9,0,3,no,5803,no,no,0,2,2,83,3,-1,0,no
53,2,1,3,no,624,no,yes,0,21,7,180,4,-1,0,no
58,9,1,3,no,883,no,no,0,18,8,543,1,78,2,no
33,9,1,3,no,-988,yes,yes,0,15,7,83,3,-1,0,no
38,0,0,2,no,902,yes,no,1,31,7,58,13,-1,0,no
56,7,3,2,no,1007,no,no,0,29,7,88,6,-1,0,no
40,7,1,2,no,0,yes,no,0,2,6,297,1,28,3,no
24,1,0,2,no,174,yes,yes,0,18,5,487,1,-1,0,yes
35,6,1,2,no,524,yes,no,0,21,11,484,4,-1,0,no
35,1,0,3,no,0,yes,no,0,21,7,262,4,-1,0,no
35,3,1,3,no,11219,no,no,0,12,8,699,2,79,1,no
38,9,0,3,no,0,no,no,0,28,8,247,2,-1,0,no
50,1,1,1,no,5776,no,no,0,18,11,49,3,-1,0,no
51,1,3,1,no,37,yes,no,0,13,5,341,1,-1,0,no
32,1,1,2,no,1148,yes,no,0,20,4,121,1,-1,0,no
41,4,1,3,no,49,yes,no,0,17,7,312,5,-1,0,no
34,0,1,3,no,69,no,yes,0,4,8,120,3,1,6,yes
50,1,1,1,no,4108,yes,no,0,7,8,526,2,-1,0,yes
53,7,1,2,no,4994,no,no,0,18,8,62,6,-1,0,no
53,9,3,2,no,0,yes,yes,0,15,7,135,5,-1,0,no
47,4,1,3,no,3681,no,no,0,14,8,101,2,-1,0,no
29,4,1,3,no,451,no,no,0,28,1,451,1,-1,0,no
38,2,1,2,no,593,yes,yes,0,24,7,1484,24,-1,0,yes
32,1,1,2,no,759,yes,no,0,9,4,317,5,-1,0,yes
70,5,3,1,no,4531,no,no,0,18,5,445,1,-1,0,no
65,5,3,1,no,1840,no,no,0,1,6,383,2,188,5,no
56,1,1,2,no,345,yes,no,1,22,7,605,1,-1,0,no
35,1,1,2,no,1287,yes,no,0,14,7,330,2,-1,0,no
56,9,1,2,no,205,no,yes,0,23,7,442,2,-1,0,no
49,2,1,2,no,687,yes,no,0,17,4,772,1,-1,0,yes
38,0,1,3,no,605,no,no,0,18,11,147,2,-1,0,no
49,1,1,2,no,8545,yes,yes,0,6,5,199,7,167,1,no
43,1,0,1,no,2,yes,no,0,30,7,783,3,-1,0,no
43,4,1,3,no,2,no,yes,0,20,8,472,2,-1,0,no
25,0,0,3,no,760,yes,no,0,27,5,223,3,89,2,yes
46,1,1,2,no,182,no,no,0,4,2,56,1,-1,0,no
35,2,1,2,no,2971,no,no,0,4,5,429,4,164,2,yes
37,1,1,2,no,-67,no,no,0,2,2,157,1,-1,0,no
60,6,0,3,no,179,no,yes,0,29,7,79,4,-1,0,no
38,4,1,3,no,1199,no,no,0,4,8,178,1,1,1,yes
33,9,1,2,no,6699,no,no,0,9,11,425,1,462,1,no
51,10,1,2,no,1760,no,yes,0,19,11,162,1,-1,0,no
35,2,0,3,no,145,yes,no,0,18,7,799,2,-1,0,yes
35,10,1,2,no,978,no,no,0,29,dec,1370,3,209,3,yes
37,0,1,2,no,121,no,no,0,22,7,22,6,-1,0,no
29,9,0,3,no,828,yes,no,0,16,4,215,3,321,3,no
34,0,1,2,no,244,yes,no,0,31,7,56,4,-1,0,no
32,7,1,1,no,228,yes,no,0,21,7,1017,6,-1,0,yes
30,4,0,3,no,424,no,no,0,16,4,298,4,-1,0,yes
33,4,0,3,no,1410,yes,no,0,5,2,8,1,254,5,no
63,5,1,1,no,1084,no,no,0,14,10,201,1,183,1,no
51,6,3,1,no,10924,no,no,0,6,5,106,2,-1,0,no
41,4,1,3,no,832,yes,yes,0,21,11,164,1,176,1,no
56,5,1,3,no,478,no,no,0,5,2,97,1,-1,0,no
60,4,0,3,no,0,no,yes,0,23,7,151,1,-1,0,no
36,1,0,2,no,219,yes,yes,0,11,5,270,2,347,1,no
57,4,1,3,no,1602,no,no,0,29,7,339,3,-1,0,no
55,4,1,1,no,2587,no,no,0,4,9,328,2,94,2,yes
47,6,1,3,no,2303,yes,no,0,6,5,323,2,364,1,no
31,1,1,2,no,1660,yes,no,0,20,4,342,1,-1,0,no
35,4,1,3,yes,32,yes,no,0,21,11,180,1,-1,0,no
39,4,1,3,no,278,no,yes,0,28,7,60,3,-1,0,no
50,4,1,3,no,4,no,no,0,17,11,223,1,96,2,no
29,4,1,3,no,318,yes,no,0,18,5,1434,2,356,4,no
48,0,3,2,no,4099,no,no,0,2,4,397,2,-1,0,yes
26,8,0,2,no,2572,yes,no,0,5,5,620,1,-1,0,no
36,4,0,3,no,339,no,no,0,21,11,6,6,-1,0,no
42,1,1,1,no,0,yes,yes,0,7,5,209,2,-1,0,no
49,1,1,2,no,2039,yes,no,0,18,11,283,2,-1,0,no
45,4,1,3,no,5450,no,no,0,8,8,188,2,-1,0,no
23,8,0,2,no,780,no,no,0,16,9,267,1,-1,0,no
38,9,0,2,no,0,yes,no,0,7,4,196,2,-1,0,no
32,4,0,3,no,8436,yes,no,0,17,4,245,1,149,2,no
60,9,0,1,no,11262,no,no,0,26,8,323,1,-1,0,yes
30,2,1,2,no,946,yes,no,0,19,11,1065,1,183,1,no
60,5,1,1,no,55,no,no,0,4,6,207,1,-1,0,no
51,9,1,2,no,-379,yes,no,0,5,8,261,1,-1,0,no
42,0,1,2,no,-396,yes,no,0,11,5,80,1,308,4,no
30,7,0,2,no,0,yes,no,0,18,5,131,6,363,9,no
37,4,1,3,no,393,yes,no,0,14,5,567,3,275,4,yes
27,7,0,2,no,468,yes,no,0,13,5,109,1,-1,0,no
39,1,1,2,no,0,yes,no,0,30,4,53,1,325,1,no
59,5,1,3,no,9676,no,no,1,27,3,234,2,-1,0,yes
37,7,1,2,no,1328,yes,no,1,13,5,121,2,341,4,no
41,1,1,1,no,8,yes,no,0,15,7,155,2,-1,0,no
45,1,1,1,no,61,no,no,0,17,4,108,1,-1,0,no
32,1,1,2,no,1005,no,no,0,12,5,215,1,-1,0,no
33,4,0,3,no,1240,yes,no,0,4,2,505,2,260,1,no
35,9,1,2,no,0,no,no,0,27,8,106,4,-1,0,no
33,1,1,2,no,43,yes,no,0,14,5,332,2,358,2,no
34,0,1,2,no,613,yes,no,0,4,6,80,1,-1,0,no
37,9,0,3,no,6101,no,no,0,4,5,60,5,87,1,no
38,1,1,1,no,168,yes,yes,1,13,5,212,3,-1,0,no
39,1,1,1,no,7685,yes,no,0,14,4,493,3,-1,0,no
35,9,3,3,no,4515,yes,no,0,19,11,98,2,-1,0,no
28,1,0,2,no,517,no,yes,0,8,7,681,1,-1,0,yes
27,1,0,2,no,148,no,no,0,22,7,203,1,-1,0,no
48,5,1,1,yes,-285,no,yes,0,19,11,157,1,-1,0,no
45,6,1,2,no,3098,yes,no,0,7,8,159,2,-1,0,no
39,9,1,2,no,130,no,no,0,8,7,202,2,-1,0,no
44,4,1,2,no,438,yes,no,1,8,5,37,3,303,1,no
54,0,1,2,no,0,no,no,0,28,1,161,1,98,2,yes
49,4,1,3,no,322,no,no,0,6,8,72,4,-1,0,no
34,1,0,2,no,186,no,no,0,2,2,342,1,-1,0,no
75,5,3,3,no,3810,yes,no,0,16,11,262,1,183,1,yes
42,4,1,3,no,0,no,no,0,13,8,325,2,-1,0,no
53,1,1,2,no,4380,no,no,1,19,8,223,7,-1,0,no
49,4,3,3,no,755,no,no,0,31,7,1212,4,-1,0,yes
31,7,0,2,no,2070,no,no,0,29,8,319,2,-1,0,no
45,1,0,1,no,999,no,no,0,29,1,182,2,-1,0,no
39,6,1,2,no,167,yes,yes,0,17,7,330,1,-1,0,no
46,9,1,2,no,1322,yes,yes,0,19,11,514,1,-1,0,no
37,4,1,3,no,502,yes,no,0,7,5,551,1,351,1,no
26,9,0,3,no,1216,yes,no,0,16,4,472,2,-1,0,no
37,4,0,3,no,876,yes,no,0,15,4,140,4,327,2,no
40,4,1,3,no,542,yes,no,0,20,11,1816,1,-1,0,no
53,4,1,1,no,995,no,no,0,4,2,200,3,-1,0,no
29,4,1,3,no,20,yes,no,0,12,5,418,1,-1,0,no
34,9,0,3,no,228,yes,no,0,22,7,387,4,-1,0,no
43,1,1,2,no,130,no,no,0,5,5,156,1,337,3,no
56,4,1,3,no,217,no,yes,0,21,7,121,2,-1,0,no
31,6,1,3,no,259,yes,no,0,7,5,47,1,-1,0,no
27,0,0,2,no,619,yes,no,0,20,4,16,5,322,4,no
36,4,1,2,no,644,yes,no,0,18,11,54,2,-1,0,no
44,4,1,3,no,22,yes,no,0,6,8,265,2,-1,0,no
30,0,0,2,no,239,yes,no,0,7,5,115,3,-1,0,no
42,9,0,2,no,275,no,no,0,26,8,31,8,-1,0,no
30,4,1,3,no,1221,yes,no,1,25,7,279,4,-1,0,yes
62,5,1,2,no,816,no,no,0,1,9,28,2,-1,0,no
24,1,1,2,no,1222,yes,no,0,20,4,369,1,-1,0,no
66,5,1,3,no,2262,no,no,0,22,4,155,1,-1,0,no
47,0,1,2,no,2,no,no,0,10,7,89,1,-1,0,no
39,2,1,3,no,2,yes,no,0,17,11,180,1,-1,0,no
35,9,1,2,no,4508,yes,no,0,18,11,854,1,-1,0,yes
35,0,3,2,no,-402,yes,no,0,17,4,46,1,-1,0,no
32,1,1,2,no,34,yes,no,0,5,5,321,2,-1,0,no
44,4,1,3,no,795,no,no,0,28,8,99,24,-1,0,no
34,6,0,3,no,5462,no,no,0,30,4,430,1,-1,0,yes
25,7,0,2,no,402,no,yes,0,7,7,264,1,-1,0,no
40,9,0,2,no,641,no,no,0,16,7,156,6,-1,0,no
43,4,3,3,no,36,no,no,0,26,5,118,1,102,2,no
50,1,1,2,no,283,yes,no,0,7,8,226,3,-1,0,no
35,1,3,2,no,3102,yes,no,0,20,11,138,1,-1,0,no
32,1,1,2,no,889,yes,no,0,10,9,185,1,99,5,yes
59,3,1,2,no,0,no,no,1,3,2,722,1,99,4,no
40,4,0,2,no,10378,yes,no,0,17,11,523,3,-1,0,no
40,4,1,3,no,8969,yes,no,0,17,11,153,1,-1,0,no
38,2,1,2,yes,15,yes,no,0,10,7,121,1,-1,0,no
61,0,1,2,no,4608,no,no,0,12,3,212,1,-1,0,yes
77,5,1,3,no,7802,no,no,1,4,5,421,1,92,2,yes
56,4,0,2,no,237,yes,no,1,9,7,236,4,-1,0,no
40,9,1,2,no,694,yes,no,0,4,2,97,4,196,5,no
40,4,1,3,no,0,no,no,0,14,7,109,8,-1,0,no
54,4,1,3,no,55,yes,no,0,2,6,112,2,-1,0,no
55,7,3,2,yes,-404,yes,no,0,22,7,502,3,-1,0,no
33,4,1,3,no,641,yes,no,0,13,8,347,2,-1,0,no
53,0,1,2,no,1796,no,no,1,16,3,295,1,91,2,yes
46,0,1,2,no,22,no,no,0,26,8,388,6,-1,0,yes
44,9,0,2,no,244,yes,no,0,12,8,1735,4,-1,0,yes
50,3,1,2,no,7317,yes,no,0,13,5,172,1,370,1,no
34,9,0,2,no,4943,yes,yes,0,19,11,117,2,-1,0,no
42,4,0,3,no,515,yes,no,0,19,11,501,2,-1,0,no
32,4,0,3,no,12607,no,no,0,14,8,203,5,84,1,no
58,0,1,2,no,2,yes,yes,1,25,7,282,9,-1,0,no
31,4,1,3,no,13,no,no,0,28,8,110,5,-1,0,no
19,8,0,1,no,103,no,no,0,10,7,104,2,-1,0,yes
41,4,1,3,no,3872,no,no,0,15,10,231,1,-1,0,no
52,6,0,1,no,217,no,yes,0,15,7,193,6,-1,0,no
41,1,0,2,no,428,yes,no,0,12,5,92,1,-1,0,no
30,1,0,2,no,315,no,no,0,23,6,1407,1,-1,0,yes
38,1,1,2,no,121,yes,yes,0,6,2,168,1,212,2,no
32,4,1,3,no,820,yes,no,0,17,7,738,3,-1,0,no
52,9,1,2,no,195,yes,no,0,18,2,220,1,63,5,yes
36,4,1,3,no,-381,yes,no,0,31,7,30,29,-1,0,no
45,10,3,1,no,757,no,no,0,20,4,103,1,325,4,no
36,1,1,1,no,1925,yes,no,0,20,4,904,2,-1,0,yes
34,4,1,3,no,902,yes,no,0,14,5,159,1,367,2,no
61,5,1,2,no,5207,no,no,0,11,9,336,1,81,2,no
50,2,1,2,no,665,no,no,1,17,11,238,1,-1,0,no
43,0,3,2,no,738,yes,no,0,21,11,585,4,191,4,no
47,1,1,1,no,233,no,no,0,8,8,293,3,-1,0,no
49,10,3,2,no,66,no,no,0,9,7,218,3,-1,0,no
43,7,1,1,no,2567,yes,no,0,14,5,109,1,360,2,no
40,4,1,3,no,1584,yes,no,1,21,11,661,1,-1,0,no
32,7,0,2,no,182,yes,no,0,6,5,145,1,-1,0,no
58,4,1,1,no,76,yes,no,1,18,5,54,4,-1,0,no
34,0,0,2,no,663,yes,no,0,20,4,111,1,-1,0,no
29,1,1,2,no,15,no,no,0,3,6,136,1,-1,0,no
52,1,1,1,no,1054,no,no,0,4,8,273,1,-1,0,no
45,4,1,3,no,1529,no,no,0,30,6,160,1,-1,0,no
26,4,0,2,no,63,no,no,0,28,7,76,4,-1,0,no
40,9,1,3,no,0,no,no,0,19,8,44,1,-1,0,no
47,0,0,2,no,3696,no,no,0,12,7,250,2,181,4,yes
27,7,1,2,no,0,yes,no,0,23,7,198,13,-1,0,no
49,0,1,2,no,2465,no,no,0,20,8,157,3,-1,0,no
35,1,1,1,no,0,yes,no,0,24,7,90,6,-1,0,no
47,6,1,2,yes,2,no,no,0,5,2,236,2,-1,0,no
54,4,1,3,no,0,no,no,0,16,7,118,5,-1,0,no
39,4,0,3,no,12437,no,no,1,18,11,40,1,-1,0,no
28,8,0,2,no,378,yes,no,0,17,4,346,1,-1,0,no
34,9,1,2,no,-228,yes,no,0,20,4,187,3,332,3,no
63,5,1,2,no,2747,no,no,0,11,9,113,1,80,1,no
37,0,1,2,no,1314,yes,no,0,8,5,682,2,85,7,no
55,1,1,1,no,2275,no,no,0,25,8,139,9,-1,0,no
43,4,0,3,no,1304,no,no,0,6,8,501,2,-1,0,yes
41,1,1,2,yes,720,no,yes,0,24,7,651,1,-1,0,yes
47,9,3,2,no,2914,yes,no,0,18,8,405,13,-1,0,no
28,8,0,2,no,11555,no,no,0,8,4,125,2,-1,0,no
36,7,1,2,no,-302,yes,no,0,13,5,36,2,-1,0,no
50,9,1,2,no,2497,yes,no,0,21,11,35,1,176,1,no
40,9,1,2,no,56,yes,yes,0,29,1,194,1,247,1,no
26,6,0,3,no,211,no,no,0,29,1,168,3,-1,0,no
59,10,1,1,no,0,no,no,0,30,1,3025,2,-1,0,no
28,8,0,2,no,459,no,no,0,16,3,83,13,-1,0,no
50,6,1,2,no,1138,no,no,0,14,8,219,10,-1,0,no
53,4,1,3,no,1319,yes,no,0,16,4,427,1,150,1,no
